,Company,Rating,No_of_ratings,Review,Size,Processor,RAM,Memory,OpSys,Price,MRP,ImgURL
921,DELL,4.2,46,4,40.0,Intel Core i3 Processor (10th Gen),8,1 TB HDD|256 GB SSD,64 bit Windows 11 ,44890,56200,https://rukminim1.flixcart.com/image/312/312/kt8zb0w0/computer/n/m/v/inspiron-3511-thin-and-light-laptop-dell-original-imag6n5kbmfcgxk6.jpeg?q=70
922,DELL,4.4,295,71,40.0,4 GB NVIDIA Geforce GTX 1050 Graphic Card for Desktop Level Performance,8,8 GB DDR4 RAM,Intel Core i5 Processor (7th Gen),66990,77234,https://rukminim1.flixcart.com/image/312/312/j66s3gw0/computer/y/g/n/dell-gaming-laptop-original-imaewphfgashevp5.jpeg?q=70
923,Lenovo,4.2,974,75,36.0,Intel Core i3 Processor (11th Gen),8,256 GB SSD,64 bit Windows 11 ,33990,60890,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70
924,ASUS,4.253596614950631,2841,241,41.0,AMD Ryzen 7 Octa Core Processor,16,1 TB SSD,Windows 11 ,171990,230990,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/g/e/b/gv601rm-m6055ws-2-in-1-gaming-laptop-asus-original-imaggyy5h5vgubxe.jpeg?q=70
925,Infinix,4.3,3496,417,36.0,Intel Core i3 Processor (10th Gen),8,256 GB SSD,64 bit Windows 11 ,35990,49999,https://rukminim1.flixcart.com/image/312/312/l44hyfk0/computer/l/a/w/-original-imagf39qgu4qjmgk.jpeg?q=70
926,ASUS,4.253596614950631,2841,241,41.0,Intel Core i7 Processor (12th Gen),16,512 GB SSD,Windows 11 ,174990,227990,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/e/w/u/gu603zm-k8034ws-gaming-laptop-asus-original-imagghnavdggg92s.jpeg?q=70
927,Lenovo,4.2,31,3,40.0,Intel Core i5 Processor (11th Gen),16,512 GB SSD,Windows 11 ,54300,84603,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/1/b/0/15itl6-thin-and-light-laptop-lenovo-original-imagkwgzafjp33es.jpeg?q=70
928,ASUS,3.8,189,26,36.0,Intel Core i3 Processor (10th Gen),4,1 TB HDD,DOS ,31490,39990,https://rukminim1.flixcart.com/image/312/312/kf8kvbk0/computer/9/a/k/asus-original-imafvq27mhsqxhek.jpeg?q=70
929,HP,4.3,3,0,36.0,Intel Core i3 Processor (10th Gen),8,1 TB HDD,64 bit Windows 10 ,45280,76890,https://rukminim1.flixcart.com/image/312/312/kfwvcsw0/computer/m/g/u/hp-na-thin-and-light-laptop-original-imafw9u3gjmzh22g.jpeg?q=70
930,ASUS,4.253596614950631,2841,241,36.0,AMD Ryzen 3 Quad Core Processor,8,512 GB SSD,Windows 11 ,40980,50990,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/d/c/f/-original-imagnzg2d4d96frf.jpeg?q=70
931,Lenovo,4.3,252,29,40.0,Intel Core i5 Processor (11th Gen),8,512 GB SSD,64 bit Windows 11 ,60990,93690,https://rukminim1.flixcart.com/image/312/312/kynb6vk0/computer/k/j/a/-original-imagaufne7h4hgbz.jpeg?q=70
932,HP,4.1,262,19,40.0,Intel Core i3 Processor (11th Gen),8,512 GB SSD,64 bit Windows 11 ,41490,47834,https://rukminim1.flixcart.com/image/312/312/l51d30w0/computer/4/a/i/15s-fq2671tu-thin-and-light-laptop-hp-original-imagfsxsgmkdcjsg.jpeg?q=70
933,acer,4.0,121,27,40.0,Intel Core i5 Processor (8th Gen),8,1 TB HDD,64 bit Windows 10 ,59490,62511,https://rukminim1.flixcart.com/image/312/312/jwkzwy80/computer/f/h/e/acer-na-laptop-original-imafh8bvbwyevtrs.jpeg?q=70
934,ASUS,4.253596614950631,2841,241,40.0,Intel Core i3 Processor (11th Gen),8,256 GB SSD,Windows 11 ,34490,52990,https://rukminim1.flixcart.com/image/312/312/kgfg2vk0/computer/e/j/f/asus-vivobook-laptop-original-imafwzf5e8awkm9x.jpeg?q=70
935,Lenovo,4.2,265,21,40.0,Intel Core i5 Processor (12th Gen),8,512 GB SSD,64 bit Windows 11 ,54990,76890,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/a/c/3/-original-imagg56h9gat842s.jpeg?q=70
936,HP,4.3,15,1,40.0,Intel Core i3 Processor (11th Gen),8,512 GB SSD,Windows 11 ,39450,51499,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/e/5/2/15s-fq2717tu-thin-and-light-laptop-hp-original-imagm2hchg2evdyc.jpeg?q=70
937,acer,4.253596614950631,2841,241,36.0,Intel Pentium Quad Core Processor,4,256 GB SSD,Windows 11 ,35891,37990,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/b/i/8/a314-35-thin-and-light-laptop-acer-original-imagg462zhhzd62a.jpeg?q=70
938,acer,4.253596614950631,2841,241,36.0,Intel Core i7 Processor (12th Gen),16,1 TB SSD,64 bit Windows 11 ,139999,76890,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/m/y/z/sp514-51n-spin-5-2-in-1-laptop-acer-original-imagg9k3xgwhvref.jpeg?q=70
